date,accX,accY,accZ,gyrX,gyrY,gyrZ,p2p,posture,postureLbl
"2017-11-02 13:56:40 +0000",12936,-4788,8744,-16,18,108,0,0,SitNok
"2017-11-02 13:56:40 +0000",13268,-5136,9048,42,14,233,0,0,SitNok
"2017-11-02 13:56:40 +0000",13608,-4292,8516,283,-19,3,0,0,SitNok
"2017-11-02 13:56:40 +0000",13132,-4472,9164,21,87,133,0,0,SitNok
"2017-11-02 13:56:40 +0000",13392,-4156,9016,-79,95,43,0,0,SitNok
"2017-11-02 13:56:40 +0000",13344,-4932,8852,79,86,0,0,0,SitNok
"2017-11-02 13:56:40 +0000",14020,-4372,8884,243,222,84,0,0,SitNok
"2017-11-02 13:56:40 +0000",13220,104,11236,28,300,54,0,0,SitNok
"2017-11-02 13:56:40 +0000",12552,-1848,10992,-182,223,154,0,0,SitNok
"2017-11-02 13:56:40 +0000",12792,-1112,10864,173,134,243,0,0,SitNok
"2017-11-02 13:56:40 +0000",13220,-1148,10652,314,-96,203,0,0,SitNok
"2017-11-02 13:56:40 +0000",12292,-2052,10628,231,-270,107,0,0,SitNok
"2017-11-02 13:56:40 +0000",13496,-2148,9776,166,-110,231,0,0,SitNok
"2017-11-02 13:56:41 +0000",12912,-1288,9916,174,59,134,0,0,SitNok
"2017-11-02 13:56:41 +0000",13040,152,10100,-309,282,55,0,0,SitNok
"2017-11-02 13:56:41 +0000",13632,-3516,9896,-956,446,172,0,0,SitNok
"2017-11-02 13:56:41 +0000",12336,-4620,10196,42,211,87,0,0,SitNok
"2017-11-02 13:56:41 +0000",11916,-3516,10896,481,263,195,0,0,SitNok
"2017-11-02 13:56:41 +0000",10200,-2632,12552,616,27,143,0,0,SitNok
"2017-11-02 13:56:41 +0000",11316,-1836,11376,106,-92,130,0,0,SitNok
"2017-11-02 13:56:41 +0000",11540,-3552,11936,-352,113,32,0,0,SitNok
"2017-11-02 13:56:41 +0000",11724,-3460,11100,-66,-141,76,0,0,SitNok
"2017-11-02 13:56:41 +0000",12976,-4904,10352,154,-23,245,0,0,SitNok
"2017-11-02 13:56:41 +0000",11604,-2408,10716,237,147,15,0,0,SitNok
"2017-11-02 13:56:41 +0000",10484,-1776,13048,46,108,135,0,0,SitNok
"2017-11-02 13:56:41 +0000",12768,-3168,11252,-199,-131,141,0,0,SitNok
"2017-11-02 13:56:42 +0000",11932,-3600,10660,49,-15,208,0,0,SitNok
"2017-11-02 13:56:42 +0000",12100,-1984,12220,203,189,149,0,0,SitNok
"2017-11-02 13:56:42 +0000",10804,-2724,12340,44,26,59,0,0,SitNok
"2017-11-02 13:56:42 +0000",12076,-2872,11240,-127,-47,234,0,0,SitNok
"2017-11-02 13:56:42 +0000",12104,-2684,11720,7,42,31,0,0,SitNok
"2017-11-02 13:56:42 +0000",11276,-2740,11196,-8,-35,252,0,0,SitNok
"2017-11-02 13:56:42 +0000",12284,-3116,10932,29,-15,6,0,0,SitNok
"2017-11-02 13:56:43 +0000",11780,-2880,11448,64,101,39,0,0,SitNok
"2017-11-02 13:56:43 +0000",11668,-2992,11800,44,-9,10,0,0,SitNok
"2017-11-02 13:56:43 +0000",12116,-2948,11452,17,-31,19,0,0,SitNok
"2017-11-02 13:56:43 +0000",11480,-3096,11120,44,38,200,0,0,SitNok
"2017-11-02 13:56:43 +0000",12148,-2560,11492,73,23,206,0,0,SitNok
"2017-11-02 13:56:43 +0000",11792,-2184,11592,26,46,24,0,0,SitNok
"2017-11-02 13:56:43 +0000",12040,-2772,11512,42,25,25,0,0,SitNok
"2017-11-02 13:56:43 +0000",12092,-2468,11740,30,53,29,0,0,SitNok
"2017-11-02 13:56:43 +0000",11248,-2720,11496,4,38,0,0,0,SitNok
"2017-11-02 13:56:43 +0000",11604,-2952,11572,8,9,13,0,0,SitNok
"2017-11-02 13:56:44 +0000",11480,-2568,11552,-6,15,22,0,0,SitNok
"2017-11-02 13:56:44 +0000",11920,-2856,11204,14,-1,23,0,0,SitNok
"2017-11-02 13:56:44 +0000",12096,-2604,11676,4,5,39,0,0,SitNok
"2017-11-02 13:56:44 +0000",11652,-2856,11308,20,0,21,0,0,SitNok
"2017-11-02 13:56:44 +0000",11772,-2864,11800,67,45,22,0,0,SitNok
"2017-11-02 13:56:44 +0000",11284,-2720,11572,-10,-4,8,0,0,SitNok
"2017-11-02 13:56:44 +0000",11860,-3036,11416,29,19,16,0,0,SitNok
"2017-11-02 13:56:44 +0000",11752,-2640,11508,15,27,9,0,0,SitNok
"2017-11-02 13:56:44 +0000",11924,-2748,11340,15,18,7,0,0,SitNok
"2017-11-02 13:56:44 +0000",11844,-2668,11636,39,22,25,0,0,SitNok
"2017-11-02 13:56:44 +0000",11512,-2888,11404,21,18,13,0,0,SitNok
"2017-11-02 13:56:44 +0000",11776,-2976,11552,33,22,26,0,0,SitNok
"2017-11-02 13:56:45 +0000",11604,-2772,11656,22,25,30,0,0,SitNok
"2017-11-02 13:56:45 +0000",11792,-2884,11444,21,29,30,0,0,SitNok
"2017-11-02 13:56:45 +0000",11624,-2844,11540,27,32,26,0,0,SitNok
"2017-11-02 13:56:45 +0000",11652,-2760,11624,18,10,14,0,0,SitNok
"2017-11-02 13:56:45 +0000",11708,-2836,11520,20,22,27,0,0,SitNok
"2017-11-02 13:56:45 +0000",11648,-2992,11520,28,29,7,0,0,SitNok
"2017-11-02 13:56:45 +0000",11664,-2920,11528,14,11,11,0,0,SitNok
"2017-11-02 13:56:45 +0000",11692,-2856,11532,27,24,12,0,0,SitNok
"2017-11-02 13:56:46 +0000",11624,-2756,11588,18,14,1,0,0,SitNok
"2017-11-02 13:56:46 +0000",11704,-2808,11468,29,20,16,0,0,SitNok
"2017-11-02 13:56:46 +0000",11628,-2900,11696,21,26,14,0,0,SitNok
"2017-11-02 13:56:46 +0000",11528,-2784,11660,14,16,16,0,0,SitNok
"2017-11-02 13:56:46 +0000",11644,-2892,11536,21,21,12,0,0,SitNok
"2017-11-02 13:56:46 +0000",11560,-2928,11632,19,22,12,0,0,SitNok
"2017-11-02 13:56:46 +0000",11708,-2748,11728,13,9,4,0,0,SitNok
"2017-11-02 13:56:46 +0000",11652,-2760,11632,23,22,9,0,0,SitNok
"2017-11-02 13:56:46 +0000",11636,-2848,11460,17,12,7,0,0,SitNok
